"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0600000US5002116825","Danby town, Rutland County, Vermont","487","60","435","58","52","20",
"0600000US5002125375","Fair Haven town, Rutland County, Vermont","1003","154","808","143","195","70",
"0600000US5002134450","Hubbardton town, Rutland County, Vermont","299","68","283","68","16","9",
"0600000US5002135425","Ira town, Rutland County, Vermont","161","32","146","29","15","10",
"0600000US5002137685","Killington town, Rutland County, Vermont","385","75","287","68","98","42",
"0600000US5002144125","Mendon town, Rutland County, Vermont","451","74","416","75","35","24",
"0600000US5002144800","Middletown Springs town, Rutland County, Vermont","272","31","246","30","26","10",
"0600000US5002147200","Mount Holly town, Rutland County, Vermont","599","86","552","84","47","39",
"0600000US5002147425","Mount Tabor town, Rutland County, Vermont","156","72","144","71","12","11",
"0600000US5002154250","Pawlet town, Rutland County, Vermont","600","83","527","80","73","32",
"0600000US5002155450","Pittsfield town, Rutland County, Vermont","189","45","144","39","45","32",
"0600000US5002155600","Pittsford town, Rutland County, Vermont","1391","157","1121","171","270","157",
"0600000US5002156875","Poultney town, Rutland County, Vermont","1028","115","733","107","295","65",
"0600000US5002157250","Proctor town, Rutland County, Vermont","690","73","598","69","92","35",
"0600000US5002161225","Rutland city, Rutland County, Vermont","7414","317","4068","315","3346","388",
"0600000US5002161300","Rutland town, Rutland County, Vermont","1677","161","1270","150","407","152",
"0600000US5002165275","Shrewsbury town, Rutland County, Vermont","392","73","373","72","19","12",
"0600000US5002171050","Sudbury town, Rutland County, Vermont","263","58","252","58","11","9",
"0600000US5002172925","Tinmouth town, Rutland County, Vermont","321","79","301","76","20","13",
"0600000US5002175925","Wallingford town, Rutland County, Vermont","801","90","661","84","140","80",
