"CID","Community Name","County","Init FHBM Identified","Init FIRM Identified","Curr Eff Map Date","Tribal","Reg-Emer Date","CRS Entry Date","Curr Eff Date","Curr Class","% Disc","Program","Participating Community"
"500136#","TOWNSHEND, TOWN OF","WINDHAM COUNTY",="08/02/74",="09/18/85",="09/28/07(M)","No",="09/18/85",,,,,"Regular","YES"
,"INCLUDES THE VILLAGE OF TOWNSHEND.",,,,,"No",,,,,,,"YES"
"500089#","TROY, TOWN OF","ORLEANS COUNTY",="07/26/74","12/02/80","12/02/80","No","12/02/80",,,,,"Regular","YES"
"500076","TUNBRIDGE, TOWN OF","ORANGE COUNTY",="05/31/74",="09/18/85",="09/18/85(M)","No",="09/18/85",,,,,"Regular","YES"
"500042#","UNDERHILL, TOWN OF","CHITTENDEN COUNTY",="05/31/74",="06/15/88",="07/18/11","No",="06/15/88",,,,,"Regular","YES"
"500011#","VERGENNES, CITY OF","ADDISON COUNTY",="06/28/74",="09/18/86",="09/18/86","No",="09/18/86",,,,,"Regular","YES"
"500137#","VERNON, TOWN OF","WINDHAM COUNTY",="06/28/74",="09/27/91",="09/28/07","No",="09/27/91",,,,,"Regular","YES"
"500242","VERSHIRE, TOWN OF","ORANGE COUNTY",="01/17/75",="04/01/12",="04/01/12(L)","No",="04/01/12",,,,,"Regular","YES"
"500120#","WAITSFIELD, TOWN OF","WASHINGTON COUNTY",="06/28/74",="06/01/78",="03/19/13","No",="06/01/78",,,,,"Regular","YES"
"500103#","WALLINGFORD, TOWN OF","RUTLAND COUNTY",="05/31/74",="01/16/81",="08/28/08","No",="01/16/81",,,,,"Regular","YES"
"500138#","WARDSBORO, TOWN OF","WINDHAM COUNTY","12/27/74",="07/16/80",="09/28/07","No",="07/16/80",,,,,"Regular","YES"
"500166","WARNERS GRANT, TOWN OF","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500121#","WARREN, TOWN OF","WASHINGTON COUNTY",="06/28/74",="09/01/77",="03/19/13","No",="09/01/77",,,,,"Regular","YES"
"500124","WARRENS GORE, TOWN OF ","ESSEX COUNTY",,," ","No",="08/05/14(E)",,,,,"Emergency","YES"
"500077","WASHINGTON, TOWN OF","ORANGE COUNTY",="06/28/74",,="02/20/76","No",="08/28/98(E)",,,,,"Emergency","YES"
"500123#","WATERBURY, TOWN OF","WASHINGTON COUNTY",="06/28/74",="04/15/82",="03/19/13","No",="04/15/82","10/01/16",="04/01/21","8 ","10%","Regular","YES"
"500200","WATERFORD, TOWN OF","CALEDONIA COUNTY",="07/26/74","11/15/85","11/15/85(M)","No","11/15/85",,,,,"Regular","YES"
"500156#","WEATHERSFIELD, TOWN OF","WINDSOR COUNTY",="06/14/74",="09/18/85",="09/28/07","No",="09/18/85",,,,,"Regular","YES"
"500271#","WELLS, TOWN OF","RUTLAND COUNTY",="01/10/75",="06/15/88",="08/28/08","No",="06/15/88",,,,,"Regular","YES"
"500079#","WEST FAIRLEE, TOWN OF","ORANGE COUNTY",="02/28/75","11/15/85","12/02/92","No","11/15/85",,,,,"Regular","YES"
"500272#","WEST HAVEN, TOWN OF","RUTLAND COUNTY",="01/03/75",="08/28/08",="08/28/08(M)","No",="05/22/09",,,,,"Regular","YES"
"500104#","WEST RUTLAND, TOWN OF","RUTLAND COUNTY",="07/26/74",="09/01/89",="08/28/08","No",="09/01/89",,,,,"Regular","YES"
"500301#","WEST WINDSOR, TOWN OF","WINDSOR COUNTY",="02/28/75",="06/17/91",="09/28/07","No",="06/17/91",,,,,"Regular","YES"
"500257","WESTFIELD, TOWN OF","ORLEANS COUNTY","12/24/76",="04/01/98",="04/01/98(L)","No",="04/01/98",,,,,"Regular","YES"
"500203#","WESTFORD, TOWN OF","CHITTENDEN COUNTY",="01/03/75",="07/18/11",="07/18/11","No",="01/01/10",,,,,"Regular","YES"
"500139#","WESTMINSTER, TOWN OF","WINDHAM COUNTY",="08/16/74",="01/03/85",="09/28/07","No",="01/03/85",,,,,"Regular","YES"
,"INCLUDES THE VILLAGE OF WESTMINISTER",,,,,"No",,,,,,,"YES"
"500157#","WESTON, TOWN OF","WINDSOR COUNTY","12/20/74",="04/01/92",="09/28/07","No",="04/01/92",,,,,"Regular","YES"
"500174#","WEYBRIDGE, TOWN OF","ADDISON COUNTY",="01/17/75",="09/29/86",="09/29/86","No",="09/29/86",,,,,"Regular","YES"
"500141#","WHITINGHAM, TOWN OF","WINDHAM COUNTY",="08/09/74",="09/18/85",="09/28/07(M)","No",="09/18/85",,,,,"Regular","YES"
,"INCLUDES THE VILLAGE OF JACKSONVILLE",,,,,"No",,,,,,,"YES"
"500080#","WILLIAMSTOWN, TOWN OF","ORANGE COUNTY",="06/28/74",="07/17/78",="07/17/78","No",="07/17/78",,,,,"Regular","YES"
"500043#","WILLISTON, TOWN OF","CHITTENDEN COUNTY",="03/15/74",="03/02/81",="08/04/14","No",="03/02/81",,,,,"Regular","YES"
"500142#","WILMINGTON, TOWN OF","WINDHAM COUNTY",="05/31/74",="05/01/78",="09/28/07","No",="05/01/78",,,,,"Regular","YES"
"500290#","WINDHAM, TOWN OF","WINDHAM COUNTY",="09/06/77",="09/28/07",="09/28/07(M)","No","10/14/09",,,,,"Regular","YES"
"500159#","WINDSOR, TOWN OF","WINDSOR COUNTY",="08/16/74",="09/28/79",="09/28/07","No",="09/28/79",,,,,"Regular","YES"
"500022A","WINHALL, TOWN OF","BENNINGTON COUNTY",="09/20/74",="06/19/89","12/02/15","No",="06/19/89",,,,,"Regular","YES"
"500044#","WINOOSKI, CITY OF","CHITTENDEN COUNTY",="02/01/74",="08/01/78",="07/18/11","No",="08/01/78",,,,,"Regular","YES"
"500068#","WOLCOTT, TOWN OF","LAMOILLE COUNTY",="06/28/74",="08/02/82",="06/06/00","No",="08/02/82",,,,,"Regular","YES"
"500314#","WOODBURY, TOWN OF","WASHINGTON COUNTY",="01/17/75","11/01/85",="03/19/13","No","11/01/85",,,,,"Regular","YES"
"500023A","WOODFORD, TOWN OF","BENNINGTON COUNTY","11/15/74",="09/18/85","12/02/15(M)","No",="09/18/85",,,,,"Regular","YES"
"500160#","WOODSTOCK, TOWN OF","WINDSOR COUNTY",="08/09/74","12/15/78",="09/28/07","No","12/15/78",,,,,"Regular","YES"
"500161#","WOODSTOCK, VILLAGE OF","WINDSOR COUNTY",="09/13/74",="02/15/79",="09/28/07","No",="02/15/79",,,,,"Regular","YES"
"500278#","WORCESTER, TOWN OF","WASHINGTON COUNTY",="01/31/75",="04/03/78",="03/19/13","No",="04/03/78",,,,,"Regular","YES"
"500243#","ALBANY, TOWN OF","ORLEANS COUNTY",="01/10/75",="01/03/86",="01/03/86","No",="01/03/86(S)",,,,,"Regular","NO"
"500279#","ATHENS, TOWN OF","WINDHAM COUNTY","12/06/74",="09/28/07",="09/28/07","No","12/06/75",,,,,,"NO"
"500245","BROWNINGTON, TOWN OF","ORLEANS COUNTY","12/13/74",,"11/05/76","No","12/13/75",,,,,,"NO"
"500083","CHARLESTON, TOWN OF","ORLEANS COUNTY",="08/09/74",,"11/19/76","No",="08/09/75",,,,,,"NO"
"500209","EAST HAVEN, TOWN OF","ESSEX COUNTY","12/13/74",="09/27/85",="09/27/85","No","11/01/85(S)",,,,,"Regular","NO"
"500229","EDEN, TOWN OF","LAMOILLE COUNTY","12/06/74",,"12/06/74","No","12/06/75",,,,,,"NO"
"500252","IRASBURG, TOWN OF","ORLEANS COUNTY","12/20/74",,"10/22/76","No","12/20/75",,,,,,"NO"
"500048","LUNENBURG, TOWN OF","ESSEX COUNTY",="06/28/74",,="02/18/77","No",="06/28/75",,,,,,"NO"
"500213","MAIDSTONE, TOWN OF","ESSEX COUNTY","12/13/74",,"12/13/74","No","12/13/75",,,,,,"NO"
"500255","MORGAN, TOWN OF","ORLEANS COUNTY",="01/31/75",,="01/31/75","No",="01/31/76",,,,,,"NO"
"500262#","MT. TABOR, TOWN OF","RUTLAND COUNTY",="01/10/75",="02/04/81",="08/28/08","No",="01/10/76",,,,,,"NO"
