GEOID,town_name,pct_renter_occupied,pct_renter_occupied_moe,renter_occupied,renter_occupied_moe,total_occupied,total_occupied_moe
5002536175,Jamaica town,3.131991051454139,3.8710009379753734,14,17,447,103
5002540225,Londonderry town,13.917525773195877,7.268595323754493,108,52,776,157
5002543375,Marlboro town,15.384615384615385,6.312854486044736,54,20,351,62
5002548400,Newfane town,12.777777777777777,6.912725960295363,92,48,720,103
5002557700,Putney town,27.171492204899778,9.200696060083027,244,80,898,76
5002560250,Rockingham town,38.33181403828623,7.304127596562744,841,151,2194,140
5002565762,Somerset town,,,0,10,0,10
5002570750,Stratton town,26.717557251908396,20.311466280189233,35,24,131,43
5002573300,Townshend town,17.391304347826086,6.904004273809693,104,32,598,150
5002574800,Vernon town,23.832684824902724,9.404694876543708,245,91,1028,137
5002576225,Wardsboro town,9.593023255813954,6.506796023150319,33,22,344,43
5002581400,Westminster town,11.7601246105919,6.41475352522916,151,81,1284,127
5002583950,Whitingham town,14.847942754919499,8.397538158699165,83,45,559,90
5002584700,Wilmington town,25.984251968503933,11.148441932699965,264,107,1016,143
5002584850,Windham town,17.094017094017094,10.962854610121715,40,24,234,53
5002701300,Andover town,17.22689075630252,10.597027390749336,41,24,238,45
5002702575,Baltimore town,14.17910447761194,8.8013594791762,19,11,134,30
5002702725,Barnard town,14.644351464435147,12.007010292719492,70,55,478,112
5002705800,Bethel town,16.435185185185187,5.877488549508729,142,47,864,117
5002708275,Bridgewater town,14.596949891067537,7.492396622921301,67,31,459,102
5002712250,Cavendish town,18.736383442265794,10.127024700142934,86,44,459,80
5002713675,Chester town,13.34355828220859,6.898848650006338,174,88,1304,140
5002732275,Hartford town,32.209178228388474,5.342800245892274,1509,236,4685,259
5002732425,Hartland town,8.17490494296578,4.925850715286388,129,77,1578,130
5002741275,Ludlow town,28.051391862955033,9.35947427771616,262,82,934,108
5002752900,Norwich town,28.068916008614504,7.898133416976548,391,106,1393,105
5002756050,Plymouth town,22.026431718061673,12.990612616744757,50,28,227,42
5002756350,Pomfret town,18.706697459584294,9.054396239942129,81,36,433,83
5002758375,Reading town,15.100671140939598,7.578093318880328,45,21,298,55
5002760100,Rochester town,13.884992987377279,6.555842270853008,99,43,713,132
5002760850,Royalton town,36.544585987261144,11.463755201448715,459,135,1256,137
5002763775,Sharon town,20.2808112324493,8.786953215487644,130,53,641,94
5002769550,Springfield town,32.26395409494001,7.2175763106001325,1237,259,3834,302
5002770375,Stockbridge town,14.962593516209477,8.84655800586514,60,33,401,87
5002777500,Weathersfield town,10.095238095238095,6.26177116963739,106,65,1050,98
5002782000,Weston town,8.633093525179856,4.587319345511748,24,12,278,50
5002783050,West Windsor town,2.0618556701030926,1.8807452158416265,10,9,485,72
5002784925,Windsor town,42.17877094972067,9.275054329604089,755,157,1790,128
5002785975,Woodstock town,30.639235855988247,9.287873781613468,417,122,1361,108
