GEOID,town_name,pct_below_poverty,pct_below_poverty_moe,below_poverty_total,below_poverty_total_moe,total_population,total_population_moe
5001523500,Eden town,6.096654275092937,4.383801912975558,82,58,1345,174
5001523725,Elmore town,3.319502074688797,1.9901780787937469,32,18,964,200
5001535050,Hyde Park town,5.9244126659857,2.454567207185006,174,72,2937,61
5001537075,Johnson town,12.159053565560303,3.9487386650178964,370,120,3043,51
5001546675,Morristown town,9.800427655024947,3.3162103786469332,550,186,5612,64
5001570525,Stowe town,9.858088930936614,6.30091358858466,521,333,5285,15
5001577425,Waterville town,4.900459418070445,2.886216801596658,32,18,653,114
5001585375,Wolcott town,9.25050641458474,4.093954526804136,137,58,1481,191
5001707375,Bradford town,2.7588677893228235,2.0786497939481836,77,58,2791,48
5001707600,Braintree town,11.11111111111111,5.368592340709712,114,53,1026,135
5001709325,Brookfield town,6.3257065948856,3.8263512024576554,94,55,1486,228
5001713525,Chelsea town,14.333333333333334,9.324019757832158,172,108,1200,204
5001715700,Corinth town,12.385919165580182,4.940180928917137,190,69,1534,253
5001725675,Fairlee town,14.678030303030305,6.513105368253877,155,63,1056,188
5001748175,Newbury town,14.046511627906977,5.688694713082662,302,116,2150,276
5001753425,Orange town,7.628004179728317,3.805250393243753,73,34,957,171
5001758075,Randolph town,7.678650687971593,4.5497397761423075,346,205,4506,28
5001770675,Strafford town,5.247813411078718,3.813807395685477,72,51,1372,223
5001772400,Thetford town,7.963963963963964,4.5436966216587145,221,126,2775,59
5001773075,Topsham town,18.81881881881882,10.797002732545865,188,104,999,152
5001773675,Tunbridge town,14.411529223378702,13.492978550948049,180,165,1249,238
5001774950,Vershire town,19.523809523809526,8.118294576130582,164,60,840,166
5001776750,Washington town,3.2319391634980987,2.0681312461744024,34,21,1052,176
5001779975,West Fairlee town,7.313642756680731,4.039888257252951,52,27,711,134
5001784175,Williamstown town,8.17142857142857,3.802936557237798,286,133,3500,64
5001900475,Albany town,8.029978586723768,4.105189386509486,75,31,934,281
5001903550,Barton town,10.223525100769512,3.0432154346553104,279,83,2729,28
5001909850,Brownington town,21.503496503496503,8.401739089215045,246,87,1144,190
5001913150,Charleston town,12.286324786324785,6.376350636889738,115,57,936,144
5001916150,Coventry town,19.629225736095965,8.294149657438417,180,69,917,163
5001916300,Craftsbury town,6.610878661087866,4.371683522124685,79,50,1195,229
5001917350,Derby town,7.370517928286853,2.811274160117486,333,127,4518,25
5001928075,Glover town,9.31615460852329,5.61515258250521,94,55,1009,146
5001930175,Greensboro town,8.40197693574959,5.960186705273861,51,35,607,109
5001933775,Holland town,13.885350318471337,9.746601659943403,109,73,785,165
5001935575,Irasburg town,2.4566473988439306,1.7926528306117413,34,24,1384,256
5001936325,Jay town,8.70488322717622,5.633571974644525,41,24,471,130
5001940525,Lowell town,9.56439393939394,4.647360969494645,101,41,1056,282
5001946450,Morgan town,9.963547995139733,5.235518031223643,82,41,823,133
5001948850,Newport city,22.995991983967937,7.466318875305587,918,298,3992,25
5001948925,Newport town,8.930817610062892,4.062749308976638,142,60,1590,268
5001973525,Troy town,8.640552995391705,3.7728099918655693,150,61,1736,276
5001980200,Westfield town,12.126865671641792,5.808368867205166,65,25,536,153
5001981700,Westmore town,11.612903225806452,9.235251001566409,54,41,465,110
5002105200,Benson town,5.405405405405405,2.8751998079627565,42,21,777,141
5002107750,Brandon town,14.156700024408103,5.0527798941852495,580,207,4097,16
5002111950,Castleton town,12.469033856317093,5.618251856312618,453,204,3633,54
5002114350,Chittenden town,6.600910470409711,3.9690460294703316,87,50,1318,233
5002114500,Clarendon town,6.016260162601626,3.8965785027472553,148,94,2460,312
