GEOID,town_name,pct_mobile_home,pct_mobile_home_moe,mobile_homes,mobile_homes_moe,total_housing_units,total_housing_units_moe
5002518325,Dummerston town,7.197696737044145,5.460594742047385,75,56,1042,140
5002528900,Grafton town,5.785123966942149,4.218475245081531,28,20,484,71
5002530925,Guilford town,3.0664395229982966,1.914454428923382,36,22,1174,150
5002531150,Halifax town,4.642166344294004,3.3494310986860345,24,17,517,71
5002536175,Jamaica town,4.779080252479711,3.1926889349844556,53,35,1109,112
5002540225,Londonderry town,2.650762094102054,2.2710477246653507,40,34,1509,162
5002543375,Marlboro town,5.836575875486381,5.519004759916798,30,28,514,78
5002548400,Newfane town,3.815439219165927,3.389076961126093,43,38,1127,101
5002557700,Putney town,6.754032258064516,3.3698158971268475,67,33,992,79
5002560250,Rockingham town,3.0371203599550056,2.221181587610013,81,59,2667,175
5002565762,Somerset town,0.0,100.0,0,10,10,7
5002570750,Stratton town,1.0582010582010581,1.3255042362758893,16,20,1512,122
5002573300,Townshend town,5.372405372405373,4.272546330736122,44,34,819,154
5002574800,Vernon town,13.301435406698564,9.360275682688174,139,96,1045,141
5002576225,Wardsboro town,3.3498759305210917,2.259736134463698,27,18,806,83
5002581400,Westminster town,10.443686006825939,6.391713136858941,153,92,1465,167
5002583950,Whitingham town,8.387799564270153,5.932212856012844,77,54,918,84
5002584700,Wilmington town,3.1395348837209305,3.261630347931769,81,84,2580,160
5002584850,Windham town,3.225806451612903,3.026254687489043,14,13,434,58
5002701300,Andover town,3.3678756476683938,3.4110434968850134,13,13,386,62
5002702575,Baltimore town,15.384615384615385,9.646846814059188,22,13,143,30
5002702725,Barnard town,3.7371134020618557,3.5318976016130113,29,27,776,126
5002705800,Bethel town,0.8928571428571428,0.9876794609488646,10,11,1120,131
5002708275,Bridgewater town,4.377564979480164,2.948677562548425,32,21,731,111
5002712250,Cavendish town,11.538461538461538,6.452565490274237,102,56,884,94
5002713675,Chester town,7.252514557967178,5.376448918165487,137,101,1889,147
5002732275,Hartford town,7.291493257865824,2.7530594065471274,438,164,6007,292
5002732425,Hartland town,9.044657998869418,5.652215481929193,160,99,1769,155
