GEOID,town_name,percent_with_disability,percent_with_disability_moe,with_disability,with_disability_moe,total_population,total_population_moe
5002161300,Rutland town,13.949321730227796,4.030417810184612,545,157.44840424723267,3907,18
5002165275,Shrewsbury town,12.69199676637025,7.857189517419565,157,90.80748867797193,1237,273
5002171050,Sudbury town,9.131075110456553,5.348561630301234,62,33.406586176980134,679,156
5002172925,Tinmouth town,7.617896009673519,4.011358562767983,63,29.546573405388315,827,198
5002175925,Wallingford town,23.27209098862642,8.08663407647249,532,158.75137794677562,2286,407
5002177950,Wells town,15.59233449477352,6.52977290847131,179,64.40496875241847,1148,246
5002180875,West Haven town,14.529914529914532,13.153959958174397,34,29.0,234,71
5002182300,West Rutland town,15.312500000000002,4.969054829566151,343,97.38583059151881,2240,352
5002303175,Barre city,21.925782197429054,4.540600943885162,1808,374.1296566699839,8246,67
5002303250,Barre town,12.59212991880075,2.934194333979297,1008,234.8659191964641,8005,22
5002305650,Berlin town,16.76737160120846,4.0065854440601845,444,105.9669759878048,2648,31
5002311125,Cabot town,12.412919569347688,4.936539479643472,196,63.86704940734306,1579,360
5002311350,Calais town,8.114419147694104,2.9647658701039776,139,44.87761134463375,1713,293
5002318550,Duxbury town,7.622739018087856,2.8730267352675627,118,42.02380277890139,1548,191
5002321925,East Montpelier town,8.652373660030628,2.5578564145565434,226,66.76076692189807,2612,30
5002325825,Fayston town,7.377049180327869,2.7962204611852317,99,36.09709129556009,1342,139
5002343600,Marshfield town,15.029522275899087,6.0383198426323705,280,99.67447015158896,1863,347
5002344500,Middlesex town,9.93309315491508,3.0548593799157926,193,53.39475629684998,1943,261
5002346000,Montpelier city,13.723765238155083,2.4717375416925975,1092,196.62400667263395,7957,33
5002346225,Moretown town,9.7911227154047,3.428649657494235,150,49.122296363260546,1532,190
5002350275,Northfield town,15.45827633378933,3.3871960441875295,904,198.0252509151295,5848,31
5002355825,Plainfield town,13.39421613394216,4.755947402468939,176,57.42821606144492,1314,184
5002360625,Roxbury town,16.24203821656051,10.867654687450742,153,86.91950298983537,942,333
5002375325,Waitsfield town,14.65067778936392,6.464098747939877,281,117.88977903109328,1918,262
5002376525,Warren town,6.561514195583597,5.180677048423423,104,79.68688725254614,1585,302
5002376975,Waterbury town,9.89485542621104,3.4212547456893443,527,181.98351573700296,5326,93
5002385525,Woodbury town,9.104704097116842,6.930762616563971,60,41.352146256270665,659,213
5002386125,Worcester town,17.56919374247894,7.3304065312352895,146,56.4003546088143,831,131
5002501900,Athens town,20.185614849187935,8.978100902829386,87,33.13608305156178,431,99
5002507900,Brattleboro town,18.16057419462527,3.098622958841003,2176,371.24924242346947,11982,25
5002509475,Brookline town,9.227871939736348,5.256141892123764,49,26.645825188948457,531,90
