GEOID,town_name,total_population,occupied_housing_units,nfip_claims,total_nfip_claims_paid,2011_2022_nfip_claims,2023_plus_nfip_claims,pre_2011_nfip_claims,2011_2022_nfip_claims_count,2023_plus_nfip_claims_count,pre_2011_nfip_claims_count,claims_per_capita,claims_per_housing_unit
5000139325,Leicester town,1026,454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000939700,Lemington town,108,54,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5000939775,Lewis town,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
5000140075,Lincoln town,1394,578,3.0,49685.78,49685.78,0.0,0.0,3.0,0.0,0.0,35.64259684361549,85.9615570934256
5002540225,Londonderry town,1873,776,18.0,1347317.0,525632.0,821685.0,0.0,7.0,11.0,0.0,719.3363587827015,1736.2332474226805
5001940525,Lowell town,1070,371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5002741275,Ludlow town,1990,934,68.0,5095909.66,818809.37,4277100.29,0.0,21.0,47.0,0.0,2560.758623115578,5456.006059957173
5000941425,Lunenburg town,1267,582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000541725,Lyndon town,5590,2309,22.0,1448291.89,103961.39,1298867.93,45462.57,5.0,15.0,2.0,259.08620572450803,627.2377176266782
5000942475,Maidstone town,241,122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000342850,Manchester town,4486,1847,16.0,368587.57,332192.63,36394.94,0.0,13.0,3.0,0.0,82.16397012929113,199.56013535462913
5002543375,Marlboro town,1362,351,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5002343600,Marshfield town,1863,711,8.0,387986.93,0.0,387986.93,0.0,0.0,8.0,0.0,208.25922168545355,545.6918846694796
5002144125,Mendon town,1113,451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000144350,Middlebury town,9175,2795,6.0,4841.3099999999995,0.0,4841.3099999999995,0.0,2.0,3.0,1.0,0.5276632152588555,1.732132379248658
5002344500,Middlesex town,1943,747,14.0,493471.0,118235.59,375235.41000000003,0.0,6.0,8.0,0.0,253.97375193000514,660.6037483266399
5002144800,Middletown Springs town,747,272,1.0,6337.2,6337.2,0.0,0.0,1.0,0.0,0.0,8.483534136546185,23.298529411764704
5000745250,Milton town,10769,4220,13.0,379520.64,121937.44,257583.19999999998,0.0,4.0,9.0,0.0,35.24195747051723,89.9338009478673
5000145550,Monkton town,1999,847,1.0,11306.31,11306.31,0.0,0.0,1.0,0.0,0.0,5.655982991495748,13.348654073199528
5001145850,Montgomery town,1047,576,3.0,35575.869999999995,12700.55,0.0,22875.32,2.0,0.0,1.0,33.97886341929321,61.76366319444443
5002346000,Montpelier city,8014,3721,208.0,10661271.94,1323549.71,9128600.12,209122.11000000002,84.0,115.0,9.0,1330.3309134015471,2865.1631120666484
5002346225,Moretown town,1532,656,24.0,2247177.38,1308396.7,854939.2400000001,83841.44,8.0,13.0,3.0,1466.8259660574413,3425.5752743902435
5001946450,Morgan town,827,382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001546675,Morristown town,5722,3031,7.0,444923.64999999997,213696.99,231226.65999999997,0.0,3.0,4.0,0.0,77.75666724921355,146.79104256021114
5002147200,Mount Holly town,1415,599,4.0,154825.38,35471.51,119353.87,0.0,1.0,3.0,0.0,109.4172296819788,258.4730884808013
5002147425,Mount Tabor town,304,156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5000148700,New Haven town,1792,779,3.0,14438.18,0.0,14438.18,0.0,1.0,2.0,0.0,8.057020089285714,18.534249037227216
5000547725,Newark town,727,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001748175,Newbury town,2169,987,5.0,9261.04,9261.04,0.0,0.0,3.0,0.0,2.0,4.269727985246658,9.383019250253295
5002548400,Newfane town,1456,720,16.0,257032.12,247900.0,9132.12,0.0,14.0,2.0,0.0,176.53304945054944,356.9890555555555
