GEOID,town_name,IFLD_EALT_weighted,IFLD_EALP_weighted,IFLD_EALPE_weighted,IFLD_EALB_weighted,IFLD_EALA_weighted,POPULATION_weighted,BUILDVALUE_weighted,AGRIVALUE_weighted,AREA_weighted,ALAND_sqmi,EAL_per_capita,EAL_per_building_value,EAL_per_agricultural_value,weight,RISK_SCORE_avg,SOVI_SCORE_avg,IFLD_RISKS_avg,RESL_SCORE_avg,CRF_VALUE_avg
5000975175,Victory town,155662.0387715572,0.00015029759961413984,2059.0771147113173,153138.1022153475,464.8594415069847,523.2614394707048,140370168.58006698,1114176.265387082,43.51997052478995,42.953985987822726,297.4842536247544,0.001108939601242751,0.13971042429043112,0.17133642418818099,56.04628209239999,63.683587040000006,77.9375215535,29.5344153536,1.277030055
5000976562,Warren's gore,26251.30476039264,1.124227661869176e-05,154.01918967601776,26016.012145569843,81.27342515497685,47.56163920228941,17758087.362687584,244538.67694163029,10.500665310812641,9.471930354466929,551.9428093876338,0.0014782732072571388,0.107350318112086,0.028276836624428904,36.8948663979,32.29106202,68.4813242482,29.5344153536,1.000556928
5001102500,Bakersfield town,202274.5184093401,4.646952635417983e-05,636.6325110496315,201022.5843616741,615.3015365133275,1263.0489285916728,242013732.18084112,13757538.248100411,42.67116986003069,42.081580824655056,160.14780886982786,0.0008357976904310269,0.014702813451183346,0.38147053113611384,14.2449430987,23.062251969999995,34.6901644608,86.2018718161,0.90734534
5001105425,Berkshire town,577460.4960929252,8.014335758304042e-05,1097.9639988870483,575772.9003547244,589.6317370459586,2028.9173293083852,479271581.2316493,18326501.48829924,42.33509064424532,41.69020682723987,284.6150938489787,0.0012048711392587611,0.03150958716597444,0.4656684253634118,50.6272817,34.63898596,80.34913726469999,86.2018718161,0.999018761
5001124050,Enosburgh town,662607.4678070749,9.196055416595959e-05,1259.8595920729515,660671.0348452756,676.5733671240413,2328.082670691615,549940525.7683507,21028757.51170076,48.57743066575468,47.59811773190226,284.6150938489787,0.0012048711392587614,0.03150958716597444,0.5343315746365882,50.6272817,34.63898596,80.3491372647,86.2018718161,0.999018761
5001124925,Fairfax town,788263.8775244728,0.00014899522354420977,2041.2345625535283,785814.2824819004,408.36048027369674,3249.006617747297,814249583.5473489,11666289.79836076,40.733177801602956,39.739111384047106,242.6168888726415,0.0009680863134007792,0.06756765785427621,0.5108500971300781,41.9642538618,9.209856068,73.3033665109,86.2018718161,0.670423029
5001125225,Fairfield town,327974.87675865996,7.534729188282017e-05,1032.2578987903685,325944.94773832586,997.6711213766724,2047.9510714083272,392409407.8191589,22306946.75189959,69.18850572996931,67.31054451728106,160.14780886982786,0.0008357976904310269,0.014702813451183348,0.6185294688638862,14.2449430987,23.06225197,34.6901644608,86.2018718161,0.9073453400000001
5001126500,Fletcher town,754779.5357055274,0.00014266611582179023,1954.525786756472,752433.9960180996,391.01390091530334,3110.9933822527037,779661405.4526513,11170722.201639242,39.002889648397044,38.347393412209634,242.61688887264154,0.0009680863134007793,0.06756765785427621,0.48914990286992194,41.9642538618,9.209856068,73.3033665109,86.2018718161,0.670423029
5001127100,Franklin town,391937.8444234844,9.626933104273162e-05,1318.8898352830804,389819.8245246867,799.1300635401141,1779.2334548011615,518892437.75740016,20493438.62130739,41.256517500365554,38.58503311315797,220.28466436816493,0.0007553354335195162,0.01912504053936462,0.5093711579734216,33.2738753523,41.85452822,61.6484130665,86.2018718161,1.051475925
5001127700,Georgia town,1073772.16801,9.451801964e-05,1294.89686907,1072136.1091,341.162036266,4845.0,1382438400.0,17368985.0,45.64559961,39.3475169222994,221.62480247884415,0.0007767233375534128,0.06182123872005186,1.0,26.5242053441,9.209856068,55.6324545444,86.2018718161,0.670423029
5001133025,Highgate town,518755.130938,5.23029332756e-05,716.550185876,517582.9615,455.619252479,3472.0,678382451.0,22960980.0,60.68860317,51.02604852608966,149.41104001670507,0.0007646942077780841,0.022592900256783465,1.0,7.96023450228,9.209856068,20.8079150464,86.2018718161,0.670423029
5001145850,Montgomery town,591322.8747007156,0.0001822234794043917,2496.461667836655,588423.224699265,403.1883360905694,1995.1597069938641,437390974.8025847,7272051.883317621,57.00085270147681,56.348736667006094,296.3787172665342,0.00135193204424853,0.0813144466223122,0.5663240723797514,52.5216129761,68.25801102,82.7762120509,86.2018718161,1.272265282
5001159125,Richford town,452819.3462292842,0.00013954189892160826,1911.7240152233444,450598.8713007349,308.75091522243054,1527.8402930061357,334942387.19741523,5568744.116682377,43.649738508523185,42.932499016597674,296.3787172665342,0.0013519320442485299,0.0813144466223122,0.43367592762024854,52.521612976099995,68.25801102,82.7762120509,86.2018718161,1.272265282
5001161675,St. Albans city,871936.855943,1.7179857142e-05,235.364042846,871701.4919,0.0,6877.0,1422830586.0,12142.0,1.97612337,1.9553919880130215,126.79029459691725,0.0006128184651935785,71.81163366356448,2.0,19.842912014059998,56.51098738500001,38.2986693304,86.2018718161,1.189026643
5001161750,St. Albans town,1095070.05838,0.000340653675965,4666.95536072,1090006.1468,396.956223513,6988.0,2029196883.0,21976417.0,61.4462433,37.1332179542412,156.70722071837437,0.0005396568798001648,0.04982932651760294,1.0,59.4116038196,50.72854351,79.9507687917,86.2018718161,1.119703732
5001164600,Sheldon town,377516.4882145157,9.272710021526837e-05,1270.36127294692,375476.4008753134,769.726066279886,1713.7665451988387,499799786.2425999,19739382.37869261,39.73848359963445,38.64139283134257,220.2846643681649,0.0007553354335195161,0.019125040539364615,0.49062884202657847,33.2738753523,41.85452822,61.6484130665,86.2018718161,1.051475925
5001171725,Swanton town,1021780.56294,0.000292695691543,4009.93097413,1017339.0379,431.594064527,6693.0,1256138032.0,25333911.0,62.11621182,48.22441944870418,152.664061398476,0.0008134301620604064,0.04033252358627138,1.0,54.2256787129,50.16288574,77.248998133,86.2018718161,1.115424682
5001300860,Alburgh town,715621.0876369431,0.00016719945095330016,2290.6324780592363,713191.6015500778,138.8536071642857,1497.0775680116558,560217160.4500412,5799930.910251869,47.94062826308332,29.101813903779576,478.0120301898555,0.0012773994410704248,0.12338441590261398,0.4242214701081484,68.3945155958,43.17242196,90.3523479957,99.30576945860001,1.043101468
5001329275,Grand Isle town,624737.9684400377,0.00011613388336740447,1591.0342021329254,622949.4673621821,197.46687534619815,1616.1617201127578,643033934.7618976,4050452.0120822554,35.833581157160836,16.413466467413656,386.5565931090426,0.0009715474326737756,0.15423907420122046,0.42983024471083986,54.3564862712,21.55007996,81.60845730319998,99.3057694586,0.8832743769999999
5001335875,Isle La Motte town,277630.1969970816,6.486619428621244e-05,888.666861720732,276687.6609084298,53.86922629414411,580.8016942310286,217340158.50549877,2250123.688361197,18.598901428120215,7.884612643009689,478.01203018985547,0.0012773994410704246,0.12338441590261397,0.1645796809949075,68.3945155958,43.17242196,90.3523479957,99.30576945860001,1.043101468
5001350650,North Hero town,693653.1699059752,0.00016206681323948738,2220.3153413800314,691298.2634414923,134.59112151157018,1451.1207377573155,543019785.0444599,5621886.401386933,46.468961488796445,13.455980689995828,478.01203018985547,0.0012773994410704246,0.12338441590261398,0.411198848896944,68.3945155958,43.17242196,90.3523479957,99.3057694586,1.043101468
5001367000,South Hero town,828714.8216499623,0.00015405157890859553,2110.5066310470743,826342.375237818,261.93978059780187,2143.838279887242,852984418.2381024,5372923.987917745,47.53324004283917,14.915315960654526,386.5565931090425,0.0009715474326737754,0.15423907420122046,0.5701697552891601,54.3564862712,21.55007996,81.6084573032,99.3057694586,0.883274377
5001504375,Belvidere town,171171.47274888784,0.00011501658206232946,1575.7271742549342,169513.17948755648,82.56608707053945,733.6320309886157,163403293.03012785,681325.1806172858,36.030084732075984,35.600937561075554,233.3206096770658,0.00104753992147103,0.2512331521253995,0.30928837731391895,16.9027148514,35.96754131,42.3804597291,74.2269873238,1.012684848
5001511500,Cambridge town,1992599.24422,0.00099968005228,13695.6167162,1956147.863,22755.7645034,3833.0,1560696472.0,9871141.0,64.10454024,62.94215998499369,519.8537031620141,0.0012767372003260349,0.20186108619256882,1.0,70.6015958522,29.39880353,92.0956559999,74.2269873238,0.964217447
5001523500,Eden town,306767.7421394684,0.0002061288404033372,2823.965113527549,303795.8048685307,147.97215739960217,1314.790590355731,292845872.36416084,1221048.0167296934,64.57190304465904,62.92317920287974,233.32060967706576,0.0010475399214710302,0.2512331521253995,0.5542962016676775,16.9027148514,35.96754131,42.3804597291,74.2269873238,1.012684848
5001523725,Elmore town,398098.04432119627,0.00022601158000831967,3096.3586461089685,393625.1871595397,1376.4985156478106,1280.6762195172766,330726608.4199893,1804985.3644158703,39.943238321369996,38.929259789891375,310.8498762249609,0.0012037073346564606,0.22055472147832558,0.5010470342399361,31.7731559107,44.16099035,64.3965609504,74.2269873238,1.075112606
5001535050,Hyde Park town,595377.371379,0.0003154062335,4321.06539895,589482.5635,1573.74248,3020.0,883240069.0,4637535.0,39.4056858,37.67052659841851,197.14482495993377,0.0006740832897822257,0.12838229175176036,1.0,24.4740941577,42.6819878,48.8673254611,74.2269873238,1.06348531
5001537075,Johnson town,843622.835426,0.00122272173992,16751.2878369,822723.2307,4148.31688938,3491.0,815844702.0,3990143.0,46.15804986,45.319954764106036,241.65649826009738,0.0010340483101231193,0.21142671714422265,1.0,36.1528307945,40.22804004,65.9674408096,74.2269873238,1.044671899
5001546675,Morristown town,1198769.58639,0.000467228320634,6401.02799269,1189030.1287,3338.42970013,5424.0,1775727486.0,6754914.0,51.82646625,50.78034392325369,221.01209188606197,0.0006750864622196877,0.17746629881446307,1.0,52.2290797094,26.25718178,76.7317136979,74.2269873238,0.938763238
5001570525,Stowe town,2291186.19982,0.000499826502008,6847.62307751,2282135.514,2203.06274397,5223.0,2427981118.0,4654991.0,73.38109428,72.45619014662377,438.6724487497607,0.0009436589859921638,0.4921999204337882,1.0,75.0561877921,21.41444056,93.2824373016,74.2269873238,0.896469045
