"GEO_ID","NAME","B25035_001E","B25035_001M",
"Geography","Geographic Area Name","Estimate!!Median year structure built","Margin of Error!!Median year structure built",
"0600000US5001127100","Franklin town, Franklin County, Vermont","1983","6",
"0600000US5001127700","Georgia town, Franklin County, Vermont","1985","3",
"0600000US5001133025","Highgate town, Franklin County, Vermont","1980","15",
"0600000US5001145850","Montgomery town, Franklin County, Vermont","1980","8",
"0600000US5001159125","Richford town, Franklin County, Vermont","1939-","***",
"0600000US5001161675","St. Albans city, Franklin County, Vermont","1945","9",
"0600000US5001161750","St. Albans town, Franklin County, Vermont","1987","6",
"0600000US5001164600","Sheldon town, Franklin County, Vermont","1984","19",
"0600000US5001171725","Swanton town, Franklin County, Vermont","1976","4",
"0600000US5001300860","Alburgh town, Grand Isle County, Vermont","1984","4",
"0600000US5001329275","Grand Isle town, Grand Isle County, Vermont","1983","7",
"0600000US5001335875","Isle La Motte town, Grand Isle County, Vermont","1989","10",
"0600000US5001350650","North Hero town, Grand Isle County, Vermont","1980","4",
"0600000US5001367000","South Hero town, Grand Isle County, Vermont","1985","3",
"0600000US5001504375","Belvidere town, Lamoille County, Vermont","1989","8",
"0600000US5001511500","Cambridge town, Lamoille County, Vermont","1985","4",
"0600000US5001523500","Eden town, Lamoille County, Vermont","1991","4",
"0600000US5001523725","Elmore town, Lamoille County, Vermont","1978","10",
"0600000US5001535050","Hyde Park town, Lamoille County, Vermont","1979","6",
"0600000US5001537075","Johnson town, Lamoille County, Vermont","1980","4",
"0600000US5001546675","Morristown town, Lamoille County, Vermont","1979","5",
"0600000US5001570525","Stowe town, Lamoille County, Vermont","1982","7",
"0600000US5001577425","Waterville town, Lamoille County, Vermont","1972","9",
"0600000US5001585375","Wolcott town, Lamoille County, Vermont","1983","6",
"0600000US5001707375","Bradford town, Orange County, Vermont","1976","23",
"0600000US5001707600","Braintree town, Orange County, Vermont","1979","5",
"0600000US5001709325","Brookfield town, Orange County, Vermont","1975","10",
"0600000US5001713525","Chelsea town, Orange County, Vermont","1967","10",
"0600000US5001715700","Corinth town, Orange County, Vermont","1976","6",
"0600000US5001725675","Fairlee town, Orange County, Vermont","1972","8",
"0600000US5001748175","Newbury town, Orange County, Vermont","1977","4",
"0600000US5001753425","Orange town, Orange County, Vermont","1981","7",
"0600000US5001758075","Randolph town, Orange County, Vermont","1971","7",
"0600000US5001770675","Strafford town, Orange County, Vermont","1980","7",
"0600000US5001772400","Thetford town, Orange County, Vermont","1978","6",
"0600000US5001773075","Topsham town, Orange County, Vermont","1981","6",
"0600000US5001773675","Tunbridge town, Orange County, Vermont","1981","10",
"0600000US5001774950","Vershire town, Orange County, Vermont","1985","9",
"0600000US5001776750","Washington town, Orange County, Vermont","1980","4",
"0600000US5001779975","West Fairlee town, Orange County, Vermont","1978","5",
"0600000US5001784175","Williamstown town, Orange County, Vermont","1986","5",
"0600000US5001900475","Albany town, Orleans County, Vermont","1983","10",
"0600000US5001903550","Barton town, Orleans County, Vermont","1966","11",
"0600000US5001909850","Brownington town, Orleans County, Vermont","1985","4",
"0600000US5001913150","Charleston town, Orleans County, Vermont","1980","7",
"0600000US5001916150","Coventry town, Orleans County, Vermont","1993","6",
"0600000US5001916300","Craftsbury town, Orleans County, Vermont","1983","7",
"0600000US5001917350","Derby town, Orleans County, Vermont","1978","4",
"0600000US5001928075","Glover town, Orleans County, Vermont","1968","12",
"0600000US5001930175","Greensboro town, Orleans County, Vermont","1973","5",
"0600000US5001933775","Holland town, Orleans County, Vermont","1981","4",
"0600000US5001935575","Irasburg town, Orleans County, Vermont","1988","5",
"0600000US5001936325","Jay town, Orleans County, Vermont","2001","2",
"0600000US5001940525","Lowell town, Orleans County, Vermont","1984","8",
"0600000US5001946450","Morgan town, Orleans County, Vermont","1973","8",
"0600000US5001948850","Newport city, Orleans County, Vermont","1966","7",
"0600000US5001948925","Newport town, Orleans County, Vermont","1983","4",
